candidate_rule_id,industry_code,industry_name,division_code,division_name,group_code,group_name,permit_type,scenario_template_ids,unknown_scenarios,source_basis,confidence,confirmation_questions,runtime_status,notes
BATCH3_GB4754_3011,3011,水泥制造,30,非金属矿物制品业,301,水泥、石灰和石膏制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3012,3012,石灰和石膏制造,30,非金属矿物制品业,301,水泥、石灰和石膏制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3021,3021,水泥制品制造,30,非金属矿物制品业,302,石膏、水泥制品及类似制品制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3022,3022,砼结构构件制造,30,非金属矿物制品业,302,石膏、水泥制品及类似制品制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3023,3023,石棉水泥制品制造,30,非金属矿物制品业,302,石膏、水泥制品及类似制品制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3024,3024,轻质建筑材料制造,30,非金属矿物制品业,302,石膏、水泥制品及类似制品制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3029,3029,其他水泥类似制品制造,30,非金属矿物制品业,302,石膏、水泥制品及类似制品制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3031,3031,粘土砖瓦及建筑砌块制造,30,非金属矿物制品业,303,砖瓦、石材等建筑材料制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3032,3032,建筑用石加工,30,非金属矿物制品业,303,砖瓦、石材等建筑材料制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
BATCH3_GB4754_3033,3033,防水建筑材料制造,30,非金属矿物制品业,303,砖瓦、石材等建筑材料制造,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_DUST_PARTICULATE_CONTROL"", ""SCN_ONLINE_MONITORING_KEY_UNIT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""GB/T 4754-2017"", ""固定污染源排污许可分类管理名录(2019年版)相关条目待表格级抽取确认""]",MEDIUM,"[""是否存在实际生产、加工、清洗、涂布、喷涂、染整、粉磨、冶炼、铸造或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理、水处理等通用工序？"", ""是否有破碎、粉磨、筛分、烧成、熔化、窑炉、散装粉料装卸或除尘设施？"", ""是否为水泥熟料、水泥粉磨、玻璃、陶瓷、砖瓦、石墨或其他非金属矿物制品？""]",CANDIDATE_ONLY,Batch3候选：非金属矿物以粉尘/炉窑/除尘为确认主线，在线监测按重点管理和地方要求确认。
